date,week,ao_id,q_user_id,user_id,ao,points,type,user_name,Team,FNGflag,backblast,units
2026-01-10,1,C017CTS0UQG,U016ZUU67BN,U03KV19V5JS,2nd-f,5,2ndf,Cowbell,Rudolph,0.0,F3 Plainfield Annual Holiday Gala,0.0
2026-01-10,1,C017CTS0UQG,U016ZUU67BN,U03SJESV9JR,2nd-f,5,2ndf,BABYMOMMA,Dasher,0.0,F3 Plainfield Annual Holiday Gala,0.0
2026-01-10,1,C017CTS0UQG,U016ZUU67BN,U03T43SBJNA,2nd-f,5,2ndf,Homer Simpson,Rudolph,0.0,F3 Plainfield Annual Holiday Gala,0.0
2026-01-10,1,C017CTS0UQG,U016ZUU67BN,U03TX17L7AQ,2nd-f,5,2ndf,Foreclosure,Rudolph,0.0,F3 Plainfield Annual Holiday Gala,0.0
2026-01-10,1,C017CTS0UQG,U016ZUU67BN,U03TYSW2933,2nd-f,5,2ndf,The Worm,Prancer,0.0,F3 Plainfield Annual Holiday Gala,0.0
2026-01-10,1,C017CTS0UQG,U016ZUU67BN,U040R8S1N6P,2nd-f,5,2ndf,Dilbert,Prancer,0.0,F3 Plainfield Annual Holiday Gala,0.0
2026-01-10,1,C017CTS0UQG,U016ZUU67BN,U041R4GK79V,2nd-f,5,2ndf,fuzzy navel,Donner,0.0,F3 Plainfield Annual Holiday Gala,0.0
2026-01-10,1,C017CTS0UQG,U016ZUU67BN,U041T9ACB3L,2nd-f,5,2ndf,UPS,Dasher,0.0,F3 Plainfield Annual Holiday Gala,0.0
2026-01-10,1,C017CTS0UQG,U016ZUU67BN,U04H3PWJN5A,2nd-f,5,2ndf,Juanita,Donner,0.0,F3 Plainfield Annual Holiday Gala,0.0
2026-01-10,1,C017CTS0UQG,U016ZUU67BN,U04RBT6T8RJ,2nd-f,5,2ndf,Old Maid,Dasher,0.0,F3 Plainfield Annual Holiday Gala,0.0
2026-01-10,1,C017CTS0UQG,U016ZUU67BN,U04RQB0TXFS,2nd-f,5,2ndf,Hot Lava,Comet,0.0,F3 Plainfield Annual Holiday Gala,0.0
2026-01-10,1,C017CTS0UQG,U016ZUU67BN,U04U8EGCQS1,2nd-f,5,2ndf,Manhole,Comet,0.0,F3 Plainfield Annual Holiday Gala,0.0
2026-01-10,1,C017CTS0UQG,U016ZUU67BN,U051330RY2J,2nd-f,5,2ndf,Depends (3rdF Q),Prancer,0.0,F3 Plainfield Annual Holiday Gala,0.0
2026-01-10,1,C017CTS0UQG,U016ZUU67BN,U0536BG9AMU,2nd-f,5,2ndf,TruGreen,Dancer,0.0,F3 Plainfield Annual Holiday Gala,0.0
2026-01-10,1,C017CTS0UQG,U016ZUU67BN,U058SP7GRJ6,2nd-f,5,2ndf,Hatchet (Lizard Q),Comet,0.0,F3 Plainfield Annual Holiday Gala,0.0
2026-01-10,1,C017CTS0UQG,U016ZUU67BN,U05FDSP0YD7,2nd-f,5,2ndf,Peterbilt,Comet,0.0,F3 Plainfield Annual Holiday Gala,0.0
2026-01-10,1,C017CTS0UQG,U016ZUU67BN,U05J5AE2ZS5,2nd-f,5,2ndf,Tighty Whities,Comet,2.0,F3 Plainfield Annual Holiday Gala,0.0
2026-01-10,1,C017CTS0UQG,U016ZUU67BN,U05LL7ESE79,2nd-f,5,2ndf,Cutler,Dancer,0.0,F3 Plainfield Annual Holiday Gala,0.0
2026-01-10,1,C017CTS0UQG,U016ZUU67BN,U05QD3D6ZK7,2nd-f,5,2ndf,Caboose,Cupid,0.0,F3 Plainfield Annual Holiday Gala,0.0
2026-01-10,1,C017CTS0UQG,U016ZUU67BN,U05ULCL3806,2nd-f,5,2ndf,Mr. Kotter,Donner,0.0,F3 Plainfield Annual Holiday Gala,0.0
2026-01-10,1,C017CTS0UQG,U016ZUU67BN,U064F9H5MAR,2nd-f,5,2ndf,Dog House,Dasher,0.0,F3 Plainfield Annual Holiday Gala,0.0
2026-01-10,1,C017CTS0UQG,U016ZUU67BN,U06A1RN2DQF,2nd-f,5,2ndf,Hank Hill,Prancer,0.0,F3 Plainfield Annual Holiday Gala,0.0
2026-01-10,1,C017CTS0UQG,U016ZUU67BN,U06GZ8ECZC5,2nd-f,5,2ndf,Boomer,Prancer,0.0,F3 Plainfield Annual Holiday Gala,0.0
2026-01-10,1,C017CTS0UQG,U016ZUU67BN,U06H3QB4KMY,2nd-f,5,2ndf,Mahomes,Comet,0.0,F3 Plainfield Annual Holiday Gala,0.0
2026-01-10,1,C017CTS0UQG,U016ZUU67BN,U06K8PKQGA1,2nd-f,5,2ndf,Duck Hunt,Cupid,0.0,F3 Plainfield Annual Holiday Gala,0.0
2026-01-10,1,C017CTS0UQG,U016ZUU67BN,U071GSVM24B,2nd-f,5,2ndf,Spit Valve,Prancer,0.0,F3 Plainfield Annual Holiday Gala,0.0
2026-01-10,1,C017CTS0UQG,U016ZUU67BN,U074T16JBDX,2nd-f,5,2ndf,Deliverance,Prancer,0.0,F3 Plainfield Annual Holiday Gala,0.0
2026-01-10,1,C017CTS0UQG,U016ZUU67BN,U077RQMTNG3,2nd-f,5,2ndf,Celine Dion,Rudolph,0.0,F3 Plainfield Annual Holiday Gala,0.0
2026-01-10,1,C017CTS0UQG,U016ZUU67BN,U07GJC6UG1Z,2nd-f,5,2ndf,Celler Dweller,Donner,0.0,F3 Plainfield Annual Holiday Gala,0.0
2026-01-10,1,C017CTS0UQG,U016ZUU67BN,U080FGLKUH5,2nd-f,5,2ndf,Hodl,Dancer,0.0,F3 Plainfield Annual Holiday Gala,0.0
2026-01-10,1,C017CTS0UQG,U016ZUU67BN,U087CHQLZ7B,2nd-f,5,2ndf,Scratch and Dent,Dasher,0.0,F3 Plainfield Annual Holiday Gala,0.0
2026-01-10,1,C017CTS0UQG,U016ZUU67BN,U092LRKGN2E,2nd-f,5,2ndf,Pearl,Comet,0.0,F3 Plainfield Annual Holiday Gala,0.0
2026-01-10,1,C017CTS0UQG,U016ZUU67BN,U098XEDSKJN,2nd-f,5,2ndf,Liberty Biberty,Prancer,0.0,F3 Plainfield Annual Holiday Gala,0.0
2026-01-10,1,C017CTS0UQG,U016ZUU67BN,U0995LDSXNC,2nd-f,5,2ndf,Party in a bottle,Dancer,0.0,F3 Plainfield Annual Holiday Gala,0.0
2026-01-10,1,C017CTS0UQG,U016ZUU67BN,U09AH747KEF,2nd-f,5,2ndf,Italian Ice,Rudolph,0.0,F3 Plainfield Annual Holiday Gala,0.0
2026-01-10,1,C017CTS0UQG,U016ZUU67BN,U09BBJ81140,2nd-f,5,2ndf,Slapshot,Rudolph,0.0,F3 Plainfield Annual Holiday Gala,0.0
2026-01-21,3,C017CTS0UQG,U017QPPJVJ5,U017QPPJVJ5,2nd-f,5,2ndf,Bob Villa,Comet,0.0,"Villa, back in action. Prairie Bluff Golf Club",0.0
2026-01-21,3,C017CTS0UQG,U017QPPJVJ5,U019MT194E7,2nd-f,5,2ndf,Jellystone,Dasher,0.0,"Villa, back in action. Prairie Bluff Golf Club",0.0
2026-01-21,3,C017CTS0UQG,U017QPPJVJ5,U03KV19V5JS,2nd-f,5,2ndf,Cowbell,Rudolph,0.0,"Villa, back in action. Prairie Bluff Golf Club",0.0
2026-01-21,3,C017CTS0UQG,U017QPPJVJ5,U03SX99V3PU,2nd-f,5,2ndf,Meta,Comet,0.0,"Villa, back in action. Prairie Bluff Golf Club",0.0
2026-01-21,3,C017CTS0UQG,U017QPPJVJ5,U03TX17L7AQ,2nd-f,5,2ndf,Foreclosure,Rudolph,0.0,"Villa, back in action. Prairie Bluff Golf Club",0.0
2026-01-21,3,C017CTS0UQG,U017QPPJVJ5,U041R4GK79V,2nd-f,5,2ndf,fuzzy navel,Donner,0.0,"Villa, back in action. Prairie Bluff Golf Club",0.0
2026-01-21,3,C017CTS0UQG,U017QPPJVJ5,U06A1RN2DQF,2nd-f,5,2ndf,Hank Hill,Prancer,0.0,"Villa, back in action. Prairie Bluff Golf Club",0.0
2026-01-21,3,C017CTS0UQG,U017QPPJVJ5,U06GZ8ECZC5,2nd-f,5,2ndf,Boomer,Prancer,0.0,"Villa, back in action. Prairie Bluff Golf Club",0.0
2026-01-21,3,C017CTS0UQG,U017QPPJVJ5,U06H3QB4KMY,2nd-f,5,2ndf,Mahomes,Comet,0.0,"Villa, back in action. Prairie Bluff Golf Club",0.0
2026-01-21,3,C017CTS0UQG,U017QPPJVJ5,U074T16JBDX,2nd-f,5,2ndf,Deliverance,Prancer,0.0,"Villa, back in action. Prairie Bluff Golf Club",0.0
2026-01-21,3,C017CTS0UQG,U017QPPJVJ5,U09RGQD77N1,2nd-f,5,2ndf,Circuit City,Prancer,1.0,"Villa, back in action. Prairie Bluff Golf Club",0.0
2026-02-01,5,C017CTS0UQG,U03EPDEKY4U,U017E4NMFQV,2nd-f,5,2ndf,Hanger,Donner,0.0,Chasing those FIA points,0.0
2026-01-04,1,C017CTS0UQG,U03EPDEKY4U,U019MT194E7,2nd-f,5,2ndf,Jellystone,Dasher,0.0,Slippery ruck,0.0
2026-01-11,2,C017CTS0UQG,U03EPDEKY4U,U019MT194E7,2nd-f,5,2ndf,Jellystone,Dasher,0.0,Wildlife ruck,0.0
2026-01-25,4,C017CTS0UQG,U03EPDEKY4U,U020A3PMS14,2nd-f,5,2ndf,Ringo,Rudolph,0.0,Heatwave ruck,0.0
2026-02-08,6,C017CTS0UQG,U03EPDEKY4U,U03765UPB8C,2nd-f,5,2ndf,Chum Bucket,Donner,0.0,"Random musings, birdwatching, and train ruck",0.0
2026-01-04,1,C017CTS0UQG,U03EPDEKY4U,U03EPDEKY4U,2nd-f,5,2ndf,Schlitz,Blitzen,0.0,Slippery ruck,0.0
2026-01-11,2,C017CTS0UQG,U03EPDEKY4U,U03EPDEKY4U,2nd-f,5,2ndf,Schlitz,Blitzen,0.0,Wildlife ruck,0.0
2026-01-18,3,C017CTS0UQG,U03EPDEKY4U,U03EPDEKY4U,2nd-f,5,2ndf,Schlitz,Blitzen,0.0,Darn cold ruck,0.0
2026-01-25,4,C017CTS0UQG,U03EPDEKY4U,U03EPDEKY4U,2nd-f,5,2ndf,Schlitz,Blitzen,0.0,Heatwave ruck,0.0
2026-02-01,5,C017CTS0UQG,U03EPDEKY4U,U03EPDEKY4U,2nd-f,5,2ndf,Schlitz,Blitzen,0.0,Chasing those FIA points,0.0
2026-02-08,6,C017CTS0UQG,U03EPDEKY4U,U03EPDEKY4U,2nd-f,5,2ndf,Schlitz,Blitzen,0.0,"Random musings, birdwatching, and train ruck",0.0
2026-01-04,1,C017CTS0UQG,U03EPDEKY4U,U057QBF3TPW,2nd-f,5,2ndf,Deja vu,NONE,0.0,Slippery ruck,0.0
2026-01-11,2,C017CTS0UQG,U03EPDEKY4U,U057QBF3TPW,2nd-f,5,2ndf,Deja vu,NONE,0.0,Wildlife ruck,0.0
2026-01-04,1,C017CTS0UQG,U03EPDEKY4U,U05TUKL5N87,2nd-f,5,2ndf,Zimmer,Dasher,0.0,Slippery ruck,0.0
2026-01-04,1,C017CTS0UQG,U03EPDEKY4U,U05ULCL3806,2nd-f,5,2ndf,Mr. Kotter,Donner,0.0,Slippery ruck,0.0
2026-01-11,2,C017CTS0UQG,U03EPDEKY4U,U05ULCL3806,2nd-f,5,2ndf,Mr. Kotter,Donner,0.0,Wildlife ruck,0.0
2026-01-18,3,C017CTS0UQG,U03EPDEKY4U,U05ULCL3806,2nd-f,5,2ndf,Mr. Kotter,Donner,0.0,Darn cold ruck,0.0
2026-02-01,5,C017CTS0UQG,U03EPDEKY4U,U06A1RN2DQF,2nd-f,5,2ndf,Hank Hill,Prancer,0.0,Chasing those FIA points,0.0
2026-02-08,6,C017CTS0UQG,U03EPDEKY4U,U06A1RN2DQF,2nd-f,5,2ndf,Hank Hill,Prancer,0.0,"Random musings, birdwatching, and train ruck",0.0
2026-01-04,1,C017CTS0UQG,U03EPDEKY4U,U06GZ8ECZC5,2nd-f,5,2ndf,Boomer,Prancer,0.0,Slippery ruck,0.0
2026-01-11,2,C017CTS0UQG,U03EPDEKY4U,U06GZ8ECZC5,2nd-f,5,2ndf,Boomer,Prancer,0.0,Wildlife ruck,0.0
2026-01-18,3,C017CTS0UQG,U03EPDEKY4U,U06GZ8ECZC5,2nd-f,5,2ndf,Boomer,Prancer,0.0,Darn cold ruck,0.0
2026-01-25,4,C017CTS0UQG,U03EPDEKY4U,U06GZ8ECZC5,2nd-f,5,2ndf,Boomer,Prancer,0.0,Heatwave ruck,0.0
2026-02-01,5,C017CTS0UQG,U03EPDEKY4U,U06GZ8ECZC5,2nd-f,5,2ndf,Boomer,Prancer,0.0,Chasing those FIA points,0.0
2026-02-08,6,C017CTS0UQG,U03EPDEKY4U,U06GZ8ECZC5,2nd-f,5,2ndf,Boomer,Prancer,0.0,"Random musings, birdwatching, and train ruck",0.0
2026-02-01,5,C017CTS0UQG,U03EPDEKY4U,U06H3QB4KMY,2nd-f,5,2ndf,Mahomes,Comet,0.0,Chasing those FIA points,0.0
2026-02-08,6,C017CTS0UQG,U03EPDEKY4U,U073D5MRD4Z,2nd-f,5,2ndf,Hat Trick,Vixen,0.0,"Random musings, birdwatching, and train ruck",0.0
2026-01-04,1,C017CTS0UQG,U03EPDEKY4U,U075J9NN91N,2nd-f,5,2ndf,Pop-Tart,Dancer,0.0,Slippery ruck,0.0
2026-01-25,4,C017CTS0UQG,U03EPDEKY4U,U075J9NN91N,2nd-f,5,2ndf,Pop-Tart,Dancer,0.0,Heatwave ruck,0.0
2026-02-01,5,C017CTS0UQG,U03EPDEKY4U,U07GDNBSZ0Q,2nd-f,5,2ndf,Speedbag (F3 Southsid3),Unknown Team,<NA>,Chasing those FIA points,0.0
2026-01-25,4,C017CTS0UQG,U03EPDEKY4U,U080FGLKUH5,2nd-f,5,2ndf,Hodl,Dancer,0.0,Heatwave ruck,0.0
2026-01-11,2,C017CTS0UQG,U03EPDEKY4U,U087CHQLZ7B,2nd-f,5,2ndf,Scratch and Dent,Dasher,0.0,Wildlife ruck,0.0
2026-01-02,0,C017CTS0UQG,U04RBT6T8RJ,U016M1Z8NLE,2nd-f,5,2ndf,Happy Camper,Comet,0.0,First Friday at Werk Force,0.0
2026-01-02,0,C017CTS0UQG,U04RBT6T8RJ,U017QPPJVJ5,2nd-f,5,2ndf,Bob Villa,Comet,0.0,First Friday at Werk Force,0.0
2026-02-06,5,C017CTS0UQG,U04RBT6T8RJ,U017QPPJVJ5,2nd-f,5,2ndf,Bob Villa,Comet,0.0,1st Friday at Werk Force,0.0
2026-01-02,0,C017CTS0UQG,U04RBT6T8RJ,U01KXPKDF97,2nd-f,5,2ndf,Heifer,Comet,2.0,First Friday at Werk Force,0.0
2026-01-02,0,C017CTS0UQG,U04RBT6T8RJ,U020A3PMS14,2nd-f,5,2ndf,Ringo,Rudolph,0.0,First Friday at Werk Force,0.0
2026-02-06,5,C017CTS0UQG,U04RBT6T8RJ,U020A3PMS14,2nd-f,5,2ndf,Ringo,Rudolph,0.0,1st Friday at Werk Force,0.0
2026-02-06,5,C017CTS0UQG,U04RBT6T8RJ,U02NST5BMKJ,2nd-f,5,2ndf,Dear Abby,Dancer,0.0,1st Friday at Werk Force,0.0
2026-02-06,5,C017CTS0UQG,U04RBT6T8RJ,U03EPDEKY4U,2nd-f,5,2ndf,Schlitz,Blitzen,0.0,1st Friday at Werk Force,0.0
2026-01-02,0,C017CTS0UQG,U04RBT6T8RJ,U03SX99V3PU,2nd-f,5,2ndf,Meta,Comet,0.0,First Friday at Werk Force,0.0
2026-01-02,0,C017CTS0UQG,U04RBT6T8RJ,U03TYSW2933,2nd-f,5,2ndf,The Worm,Prancer,0.0,First Friday at Werk Force,0.0
2026-01-02,0,C017CTS0UQG,U04RBT6T8RJ,U040R8S1N6P,2nd-f,5,2ndf,Dilbert,Prancer,0.0,First Friday at Werk Force,0.0
2026-02-06,5,C017CTS0UQG,U04RBT6T8RJ,U040R8S1N6P,2nd-f,5,2ndf,Dilbert,Prancer,0.0,1st Friday at Werk Force,0.0
2026-01-02,0,C017CTS0UQG,U04RBT6T8RJ,U041R4GK79V,2nd-f,5,2ndf,fuzzy navel,Donner,0.0,First Friday at Werk Force,0.0
2026-02-06,5,C017CTS0UQG,U04RBT6T8RJ,U04H6HMNPH9,2nd-f,5,2ndf,Cinderella,Dancer,0.0,1st Friday at Werk Force,0.0
2026-01-02,0,C017CTS0UQG,U04RBT6T8RJ,U04Q01BPTPE,2nd-f,5,2ndf,Olive Oyl,Dasher,0.0,First Friday at Werk Force,0.0
2026-01-02,0,C017CTS0UQG,U04RBT6T8RJ,U04RBT6T8RJ,2nd-f,5,2ndf,Old Maid,Dasher,0.0,First Friday at Werk Force,0.0
2026-02-06,5,C017CTS0UQG,U04RBT6T8RJ,U04RBT6T8RJ,2nd-f,5,2ndf,Old Maid,Dasher,0.0,1st Friday at Werk Force,0.0
2026-01-02,0,C017CTS0UQG,U04RBT6T8RJ,U05TUKL5N87,2nd-f,5,2ndf,Zimmer,Dasher,0.0,First Friday at Werk Force,0.0
2026-01-02,0,C017CTS0UQG,U04RBT6T8RJ,U06A1RN2DQF,2nd-f,5,2ndf,Hank Hill,Prancer,0.0,First Friday at Werk Force,0.0
2026-02-06,5,C017CTS0UQG,U04RBT6T8RJ,U06A1RN2DQF,2nd-f,5,2ndf,Hank Hill,Prancer,0.0,1st Friday at Werk Force,0.0
2026-01-02,0,C017CTS0UQG,U04RBT6T8RJ,U06GZ8ECZC5,2nd-f,5,2ndf,Boomer,Prancer,0.0,First Friday at Werk Force,0.0
2026-02-06,5,C017CTS0UQG,U04RBT6T8RJ,U06GZ8ECZC5,2nd-f,5,2ndf,Boomer,Prancer,0.0,1st Friday at Werk Force,0.0
2026-01-02,0,C017CTS0UQG,U04RBT6T8RJ,U087CHQLZ7B,2nd-f,5,2ndf,Scratch and Dent,Dasher,0.0,First Friday at Werk Force,0.0
2026-01-10,1,C017CTS0UQG,U057QBF3TPW,U057QBF3TPW,2nd-f,5,2ndf,Deja vu,NONE,0.0,Downrange 2nd F: Poker Party and Bears-Packers Gam...,0.0
2026-01-03,0,C017CTS0UQG,U07GJC6UG1Z,U02KN9HUSE6,2nd-f,5,2ndf,Soft Hands,Cupid,0.0,Holiday Party - FiA/F3,0.0
2026-01-03,0,C017CTS0UQG,U07GJC6UG1Z,U031LSD0SP7,2nd-f,5,2ndf,Plunger,NONE,0.0,Holiday Party - FiA/F3,0.0
2026-01-03,0,C017CTS0UQG,U07GJC6UG1Z,U03765UPB8C,2nd-f,5,2ndf,Chum Bucket,Donner,0.0,Holiday Party - FiA/F3,0.0
2026-01-03,0,C017CTS0UQG,U07GJC6UG1Z,U03HAJB5A9G,2nd-f,5,2ndf,CarpetMulcher,NONE,0.0,Holiday Party - FiA/F3,0.0
2026-01-03,0,C017CTS0UQG,U07GJC6UG1Z,U03SJESV9JR,2nd-f,5,2ndf,BABYMOMMA,Dasher,0.0,Holiday Party - FiA/F3,0.0
2026-01-03,0,C017CTS0UQG,U07GJC6UG1Z,U03SX99V3PU,2nd-f,5,2ndf,Meta,Comet,0.0,Holiday Party - FiA/F3,0.0
2026-01-03,0,C017CTS0UQG,U07GJC6UG1Z,U03TX17L7AQ,2nd-f,5,2ndf,Foreclosure,Rudolph,0.0,Holiday Party - FiA/F3,0.0
2026-01-03,0,C017CTS0UQG,U07GJC6UG1Z,U05QD3D6ZK7,2nd-f,5,2ndf,Caboose,Cupid,0.0,Holiday Party - FiA/F3,0.0
2026-01-03,0,C017CTS0UQG,U07GJC6UG1Z,U06A1RN2DQF,2nd-f,5,2ndf,Hank Hill,Prancer,0.0,Holiday Party - FiA/F3,0.0
2026-01-03,0,C017CTS0UQG,U07GJC6UG1Z,U06GZE2D66R,2nd-f,5,2ndf,Sparky,Dancer,0.0,Holiday Party - FiA/F3,0.0
2026-01-03,0,C017CTS0UQG,U07GJC6UG1Z,U06H3QB4KMY,2nd-f,5,2ndf,Mahomes,Comet,0.0,Holiday Party - FiA/F3,0.0
2026-01-03,0,C017CTS0UQG,U07GJC6UG1Z,U074T16JBDX,2nd-f,5,2ndf,Deliverance,Prancer,0.0,Holiday Party - FiA/F3,0.0
2026-01-03,0,C017CTS0UQG,U07GJC6UG1Z,U07GDNBSZ0Q,2nd-f,5,2ndf,Speedbag (F3 Southsid3),Unknown Team,<NA>,Holiday Party - FiA/F3,0.0
2026-01-03,0,C017CTS0UQG,U07GJC6UG1Z,U07GJC6UG1Z,2nd-f,5,2ndf,Celler Dweller,Donner,0.0,Holiday Party - FiA/F3,0.0
2026-01-03,0,C017CTS0UQG,U07GJC6UG1Z,U07UCTA492S,2nd-f,5,2ndf,Mr Burns,Unknown Team,<NA>,Holiday Party - FiA/F3,0.0
2026-01-03,0,C017CTS0UQG,U07GJC6UG1Z,U087CHQLZ7B,2nd-f,5,2ndf,Scratch and Dent,Dasher,0.0,Holiday Party - FiA/F3,0.0
2026-01-03,0,C017CTS0UQG,U07GJC6UG1Z,U0995LDSXNC,2nd-f,5,2ndf,Party in a bottle,Dancer,0.0,Holiday Party - FiA/F3,0.0
2026-01-03,0,C017CTS0UQG,U07GJC6UG1Z,U09Q74ECF54,2nd-f,5,2ndf,Pit Boss,Donner,1.0,Holiday Party - FiA/F3,0.0
2026-01-28,4,C017KB6LEP7,U016890PYHM,U016890PYHM,downrange,3,1stf,Bedpan,Donner,0.0,DR F3 Louisville RC at TheBeast,0.0
2026-01-03,0,C017KB6LEP7,U0171K8109F,U016890PYHM,downrange,3,1stf,Bedpan,Donner,0.0,F3 Indy Ruck at TheVet,0.0
2026-01-03,0,C017KB6LEP7,U0171K8109F,U0171K8109F,downrange,3,1stf,F3CrossroadsIL,NONE,0.0,F3 Indy Ruck at TheVet,0.0
2026-01-05,1,C017KB6LEP7,U0171K8109F,U0171K8109F,downrange,3,1stf,F3CrossroadsIL,NONE,0.0,Battle rocket VQ at dark water,0.0
2026-01-06,1,C017KB6LEP7,U0171K8109F,U0171K8109F,downrange,3,1stf,F3CrossroadsIL,NONE,0.0,The Patriot (f3 Southsid3),0.0
2026-01-10,1,C017KB6LEP7,U0171K8109F,U0171K8109F,downrange,3,1stf,F3CrossroadsIL,NONE,0.0,Two Wolves with Spirit Fingers on Q,0.0
2026-01-27,4,C017KB6LEP7,U0171K8109F,U0171K8109F,downrange,3,1stf,F3CrossroadsIL,NONE,0.0,Late start outpost,3.12
2026-02-03,5,C017KB6LEP7,U0171K8109F,U0171K8109F,downrange,3,1stf,F3CrossroadsIL,NONE,0.0,"Resurrection Hill (F3 Outlands, Lewinski on Q)",0.0
2026-01-27,4,C017KB6LEP7,U0171K8109F,U040R8S1N6P,downrange,3,1stf,Dilbert,Prancer,0.0,Late start outpost,3.12
2026-02-03,5,C017KB6LEP7,U0171K8109F,U048GCZ7GBY,downrange,3,1stf,Broomstick,Vixen,0.0,"Resurrection Hill (F3 Outlands, Lewinski on Q)",0.0
