date,warrior,ao,type,notes
2026-01-05,Foreclosure,the-silo,Post,the-silo - And this one time at Band Camp…
2026-01-05,Sparkler,the-silo,Post,the-silo - And this one time at Band Camp…
2026-01-05,Dilly Dilly,the-ridge,Post,the-ridge - Back to it with Pull up
2026-01-05,Mr. Kotter,winter_warrior_2026,EC,5.9
2026-01-05,Pull-up,the-ridge,Q,the-ridge - Back to it with Pull up
2026-01-05,Pull-up,the-ridge,Post,the-ridge - Back to it with Pull up
2026-01-05,Foghorn,winter_warrior_2026,EC,4.4
2026-01-05,Pull-up,winter_warrior_2026,EC,2.69
2026-01-05,Stitch,the-silo,Post,the-silo - And this one time at Band Camp…
2026-01-05,Spit Valve,winter_warrior_2026,EC,1.5
2026-01-05,Depends (3rdF Q),winter_warrior_2026,EC,2.25
2026-01-05,Dauber,winter_warrior_2026,EC,2.93
2026-01-05,Chum Bucket,winter_warrior_2026,EC,1.0
2026-01-05,Slackbot,downrange,Q,downrange - Bootcamp at The Wood
2026-01-05,Dauber,winter_warrior_2026,"Error, fix the title of your backblast",Please delete
2026-01-05,Deja vu,downrange,Post,downrange - Bootcamp at The Wood
2026-01-05,Slackbot,downrange,Post,downrange - Bootcamp at The Wood
2026-01-05,Deja vu,winter_warrior_2026,EC,1.02
2026-01-06,Soft Hands,black-diamond,Post,black-diamond - Hard shit sparkler
2026-01-06,Chum Bucket,black-diamond,Post,black-diamond - Hard shit sparkler
2026-01-06,Deja vu,winter_warrior_2026,EC,1.21
2026-01-06,Duck Hunt,winter_warrior_2026,EC,3.13
2026-01-06,Chum Bucket,winter_warrior_2026,EC,1.5
2026-01-06,Party in a bottle,black-rock,Q,black-rock - Party in A Bottle Ruck & Coupon Dora
2026-01-06,Party in a bottle,black-rock,Post,black-rock - Party in A Bottle Ruck & Coupon Dora
2026-01-06,Dilly Dilly,winter_warrior_2026,EC,5.0
2026-01-06,Mr. Kotter,black-rock,Post,black-rock - Party in A Bottle Ruck & Coupon Dora
2026-01-06,Slackbot,downrange,Q,downrange - Leg Day at 3 Rivers
2026-01-06,Deja vu,downrange,Post,downrange - Leg Day at 3 Rivers
2026-01-06,Slackbot,winter_warrior_2026,EC,1.21
2026-01-06,Depends (3rdF Q),black-diamond,Post,black-diamond - Hard shit sparkler
2026-01-06,Foreclosure,black-diamond,Post,black-diamond - Hard shit sparkler
2026-01-06,Slackbot,downrange,Post,downrange - Leg Day at 3 Rivers
2026-01-06,Spit Valve,downrange,Q,downrange - Run Club at the Wood
2026-01-06,Sparkler,winter_warrior_2026,EC,2.0
2026-01-06,Duck Hunt,downrange,Post,downrange - The Patriot (f3 Southsid3)
2026-01-06,Spit Valve,downrange,Post,downrange - Run Club at the Wood
2026-01-06,Pull-up,black-diamond,Post,black-diamond - Hard shit sparkler
2026-01-06,Spit Valve,winter_warrior_2026,EC,3.0
2026-01-06,Sparkler,black-diamond,Q,black-diamond - Hard shit sparkler
2026-01-06,Sparkler,black-diamond,Post,black-diamond - Hard shit sparkler
2026-01-07,Spit Valve,the-ridge,Post,the-ridge - Dauber's out and back
2026-01-07,Slackbot,winter_warrior_2026,EC,1.11
2026-01-07,Chum Bucket,winter_warrior_2026,EC,2.0
2026-01-07,Foghorn,3rd-f-qsource,QS/3rdF,M Source Week#1
2026-01-07,Deja vu,downrange,Post,downrange - Rooney’s hill pain
2026-01-07,Sparkler,winter_warrior_2026,EC,2.0
2026-01-07,Foghorn,the-silo,Post,the-silo - 1000DORA by CornerKick
2026-01-07,Dauber,3rd-f-qsource,QS/3rdF,M Source Week#1
2026-01-07,Depends (3rdF Q),3rd-f-qsource,QS/3rdF,M Source Week#1
2026-01-07,Chum Bucket,dmz,Post,dmz - Curriers Field goal
2026-01-07,Mr. Kotter,ravens-nest,Post,ravens-nest - Ringo: Ravens nest – Tabata style
2026-01-07,Duck Hunt,black-diamond,Post,downrange - Ricola's Black Diamond at 3R
2026-01-07,Foreclosure,black-diamond,Post,downrange - Ricola's Black Diamond at 3R
2026-01-07,Spit Valve,winter_warrior_2026,EC,1.6
2026-01-07,Deja vu,winter_warrior_2026,EC,1.11
2026-01-07,Dauber,the-ridge,Q,the-ridge - Dauber's out and back
2026-01-07,Dauber,winter_warrior_2026,EC,3.01
2026-01-07,Pull-up,winter_warrior_2026,EC,3.0
2026-01-07,Pull-up,the-silo,Post,the-silo - 1000DORA by CornerKick
2026-01-07,Sparkler,black-diamond,Post,downrange - Ricola's Black Diamond at 3R
2026-01-07,Duck Hunt,winter_warrior_2026,EC,3.2
2026-01-07,Depends (3rdF Q),ravens-nest,Post,ravens-nest - Ringo: Ravens nest – Tabata style
2026-01-07,Soft Hands,downrange,Post,downrange - Rooney’s hill pain
2026-01-07,Dauber,the-ridge,Post,the-ridge - Dauber's out and back
2026-01-08,Pull-up,the-ridge,Post,the-ridge - Throwback Thursday 1994 at The Ridge with Gopher ?...
2026-01-08,Deja vu,downrange,Q,downrange - Bootcamp at The Campus. My Q
2026-01-08,Deja vu,downrange,Post,downrange - Bootcamp at The Campus. My Q
2026-01-08,Slackbot,winter_warrior_2026,EC,0.75
2026-01-08,Chum Bucket,the-ridge,Post,the-ridge - Throwback Thursday 1994 at The Ridge with Gopher ?...
2026-01-08,Party in a bottle,the-ridge,Post,the-ridge - Throwback Thursday 1994 at The Ridge with Gopher ?...
2026-01-08,Pull-up,3rd-f-qsource,QS/3rdF,Disruption
2026-01-08,Foreclosure,winter_warrior_2026,EC,3.0
2026-01-08,Dauber,winter_warrior_2026,EC,1.56
2026-01-08,Depends (3rdF Q),winter_warrior_2026,EC,2.1
2026-01-08,Pull-up,winter_warrior_2026,EC,1.96
2026-01-08,Depends (3rdF Q),the-olympiad,Post,the-olympiad - Liberty Biberty’s Bootcamp
2026-01-08,Chum Bucket,winter_warrior_2026,EC,1.96
2026-01-08,Pull-up,3rd-f-qsource,Q,3rd-f-qsource - Disruption
2026-01-08,Deja vu,winter_warrior_2026,EC,0.75
2026-01-08,Sparkler,winter_warrior_2026,EC,3.0
2026-01-08,Duck Hunt,winter_warrior_2026,EC,3.0
2026-01-08,Duck Hunt,black-diamond,Post,black-diamond - Running With Bricks
2026-01-08,Dilly Dilly,winter_warrior_2026,EC,5.0
2026-01-08,Broomstick,black-diamond,Post,black-diamond - Running With Bricks
2026-01-08,Depends (3rdF Q),3rd-f-qsource,QS/3rdF,Disruption
2026-01-08,Foreclosure,black-diamond,Post,black-diamond - Running With Bricks
2026-01-08,Foreclosure,black-diamond,Q,black-diamond - Running With Bricks
2026-01-08,Dauber,the-colosseum,Post,the-colosseum - Wing Stop Is Close To Home
2026-01-08,Mr. Kotter,black-diamond,Post,black-diamond - Running With Bricks
2026-01-08,Sparkler,black-diamond,Post,black-diamond - Running With Bricks
2026-01-09,Stitch,the-ridge,Q,the-ridge - Stitch VQ !
2026-01-09,Dauber,winter_warrior_2026,EC,3.24
2026-01-09,Slackbot,winter_warrior_2026,EC,1.11
2026-01-09,Pull-up,winter_warrior_2026,EC,2.97
2026-01-09,Stitch,the-ridge,Post,the-ridge - Stitch VQ !
2026-01-09,Pull-up,the-ridge,Post,the-ridge - Stitch VQ !
2026-01-09,Broomstick,the-ridge,Post,the-ridge - Stitch VQ !
2026-01-09,Duck Hunt,da-grizz,Post,da-grizz - EMOM
2026-01-09,Deja vu,the-ridge,Post,the-ridge - Stitch VQ !
2026-01-09,Dilly Dilly,the-ridge,Post,the-ridge - Stitch VQ !
2026-01-09,Hodl,the-ridge,Post,the-ridge - Stitch VQ !
2026-01-09,Slackbot,downrange,Q,downrange - DR run club at BP
2026-01-09,Sparkler,the-grove,Post,the-grove - Grove Friday Pearls on a Spit Valve
2026-01-09,Mr. Kotter,the-olympiad,Post,the-olympiad - Soft Hands Runathon
2026-01-09,Soft Hands,the-olympiad,Post,the-olympiad - Soft Hands Runathon
2026-01-09,Spit Valve,winter_warrior_2026,EC,2.6
2026-01-09,Soft Hands,the-olympiad,Q,the-olympiad - Soft Hands Runathon
2026-01-09,Dauber,the-olympiad,Post,the-olympiad - Soft Hands Runathon
2026-01-09,Foreclosure,the-olympiad,Post,the-olympiad - Soft Hands Runathon
2026-01-09,Chum Bucket,the-olympiad,Post,the-olympiad - Soft Hands Runathon
2026-01-09,Deja vu,winter_warrior_2026,EC,1.11
2026-01-09,Sparkler,winter_warrior_2026,EC,3.4
2026-01-09,Chum Bucket,winter_warrior_2026,EC,1.0
2026-01-09,Slackbot,downrange,Post,downrange - DR run club at BP
2026-01-09,Spit Valve,the-grove,Post,the-grove - Grove Friday Pearls on a Spit Valve
2026-01-09,Mr. Kotter,winter_warrior_2026,EC,3.24
2026-01-09,Spit Valve,the-grove,Q,the-grove - Grove Friday Pearls on a Spit Valve
2026-01-10,Chum Bucket,2nd-f,2ndF,F3 Plainfield Annual Holiday Gala
2026-01-10,Soft Hands,2nd-f,2ndF,F3 Plainfield Annual Holiday Gala
2026-01-10,Duck Hunt,da-grizz,Post,da-grizz - I like big bells and I cannot lie
2026-01-10,Duck Hunt,2nd-f,2ndF,F3 Plainfield Annual Holiday Gala
2026-01-10,Hodl,da-grizz,Post,da-grizz - I like big bells and I cannot lie
2026-01-10,Spit Valve,2nd-f,2ndF,F3 Plainfield Annual Holiday Gala
2026-01-10,Hodl,2nd-f,2ndF,F3 Plainfield Annual Holiday Gala
2026-01-10,Party in a bottle,2nd-f,2ndF,F3 Plainfield Annual Holiday Gala
2026-01-10,Mr. Kotter,2nd-f,2ndF,F3 Plainfield Annual Holiday Gala
2026-01-10,Foreclosure,2nd-f,2ndF,F3 Plainfield Annual Holiday Gala
2026-01-10,Deja vu,downrange,Post,downrange - Ruck Club at The Wood
2026-01-10,Depends (3rdF Q),winter_warrior_2026,EC,3.02
2026-01-10,Chum Bucket,the-ridge,Post,the-ridge - 5 Putts Ultimate Football Q!
2026-01-10,Soft Hands,the-ridge,Post,the-ridge - 5 Putts Ultimate Football Q!
2026-01-10,Dauber,the-ridge,Post,the-ridge - 5 Putts Ultimate Football Q!
2026-01-10,Dauber,2nd-f,2ndF,F3 Plainfield Annual Holiday Gala
2026-01-10,Mr. Kotter,downrange,Post,downrange - Two Wolves with Spirit Fingers on Q
2026-01-10,Dilly Dilly,winter_warrior_2026,EC,5.0
2026-01-10,Foreclosure,the-ridge,Post,the-ridge - 5 Putts Ultimate Football Q!
2026-01-10,Party in a bottle,the-colosseum,Post,the-colosseum - Foundation’s Tabata of suck it up!
2026-01-10,Slackbot,winter_warrior_2026,EC,1.04
2026-01-10,Slackbot,downrange,Post,downrange - F3 Naperville Convergence at Knox Knolls
2026-01-10,Slackbot,downrange,Q,downrange - F3 Naperville Convergence at Knox Knolls
2026-01-10,Depends (3rdF Q),2nd-f,2ndF,F3 Plainfield Annual Holiday Gala
2026-01-10,Deja vu,winter_warrior_2026,EC,1.04
2026-01-10,Mr. Kotter,downrange,Post,downrange - F3 Naperville Convergence at Knox Knolls
2026-01-10,Deja vu,2nd-f,2ndF,Downrange 2nd F: Poker Party and Bears-Packers Gam...
2026-01-10,Duck Hunt,da-grizz,Post,"da-grizz - ""Lacing"" thru the Hills of Lockport"
2026-01-10,Hodl,da-grizz,Post,"da-grizz - ""Lacing"" thru the Hills of Lockport"
2026-01-10,Deja vu,black-diamond,Post,downrange - Black Diamond Lift Club at The Wood
2026-01-11,Deja vu,winter_warrior_2026,EC,3.46
2026-01-11,Mr. Kotter,2nd-f,2ndF,Wildlife ruck
2026-01-11,Slackbot,winter_warrior_2026,EC,3.46
2026-01-11,Deja vu,2nd-f,2ndF,Wildlife ruck
2026-01-12,Mr. Kotter,winter_warrior_2026,EC,5.25
2026-01-12,Sparkler,the-silo,Post,the-silo - Cardinals VQ
2026-01-12,Chum Bucket,the-silo,Q,the-silo - Cardinals VQ
2026-01-12,Chum Bucket,the-silo,Post,the-silo - Cardinals VQ
2026-01-12,Foreclosure,the-silo,Post,the-silo - Cardinals VQ
2026-01-12,Dauber,winter_warrior_2026,EC,3.06
2026-01-12,Foreclosure,winter_warrior_2026,EC,4.09
2026-01-12,Chum Bucket,winter_warrior_2026,EC,3.0
2026-01-12,Sparkler,winter_warrior_2026,EC,4.09
2026-01-12,Deja vu,winter_warrior_2026,EC,1.51
2026-01-12,Deja vu,downrange,Post,downrange - Pearls on a String at The Wood
2026-01-12,Spit Valve,winter_warrior_2026,EC,2.86
2026-01-12,Broomstick,the-colosseum,Post,the-colosseum - Interval Run
2026-01-12,Mr. Kotter,the-silo,Post,the-silo - Cardinals VQ
2026-01-12,Dauber,the-colosseum,Post,the-colosseum - Interval Run
2026-01-12,Pull-up,winter_warrior_2026,EC,3.01
2026-01-12,Depends (3rdF Q),winter_warrior_2026,EC,3.06
2026-01-12,Pull-up,the-ridge,Post,the-ridge - Hatchet getting back out ITG ?
2026-01-12,Depends (3rdF Q),the-colosseum,Post,the-colosseum - Interval Run
2026-01-12,Hodl,the-ridge,Post,the-ridge - Hatchet getting back out ITG ?
2026-01-12,Foghorn,the-ridge,Post,the-ridge - Hatchet getting back out ITG ?
2026-01-12,Spit Valve,the-colosseum,Post,the-colosseum - Interval Run
2026-01-12,Spit Valve,the-colosseum,Q,the-colosseum - Interval Run
2026-01-13,Dilly Dilly,the-ridge,Post,the-ridge - DJ sump pumps 11’s on the hill
2026-01-13,Broomstick,the-ridge,Post,the-ridge - DJ sump pumps 11’s on the hill
2026-01-13,Party in a bottle,black-diamond,Post,black-diamond - Poptart lift club
2026-01-13,Mr. Kotter,black-diamond,Post,black-diamond - Poptart lift club
2026-01-13,Sparkler,winter_warrior_2026,EC,3.24
2026-01-13,Chum Bucket,black-diamond,Post,black-diamond - Poptart lift club
2026-01-13,Pull-up,black-diamond,Post,black-diamond - Poptart lift club
2026-01-13,Sparkler,downrange,Post,downrange - Run club at the ?
2026-01-13,Foreclosure,black-rock,Post,black-rock - Ruck and Ruffle with some PT
2026-01-13,Pull-up,winter_warrior_2026,EC,2.5
2026-01-13,Foreclosure,winter_warrior_2026,EC,2.0
2026-01-13,Dilly Dilly,winter_warrior_2026,EC,1.8
2026-01-13,Soft Hands,downrange,Q,downrange - Run club at the ?
2026-01-13,Depends (3rdF Q),black-rock,Post,black-rock - Ruck and Ruffle with some PT
2026-01-13,Spit Valve,el-coyote,Post,el-coyote - The evening ruck with Spitty V
2026-01-13,Spit Valve,el-coyote,Q,el-coyote - The evening ruck with Spitty V
2026-01-13,Mr. Kotter,winter_warrior_2026,EC,4.0
2026-01-13,Soft Hands,downrange,Post,downrange - Run club at the ?
2026-01-13,Deja vu,winter_warrior_2026,EC,1.32
2026-01-13,Deja vu,black-rock,Post,black-rock - Ruck and Ruffle with some PT
2026-01-14,Mr. Kotter,3rd-f-qsource,QS/3rdF,M Source Week#2
2026-01-14,Hodl,3rd-f-qsource,QS/3rdF,M Source Week#2
2026-01-14,Foghorn,the-silo,Post,the-silo - AMRAP à la Hodl
2026-01-14,Pull-up,winter_warrior_2026,EC,3.0
2026-01-14,Pull-up,dmz,Post,dmz - Corners Hockey
2026-01-14,Sparkler,winter_warrior_2026,EC,3.15
2026-01-14,Dauber,3rd-f-qsource,QS/3rdF,M Source Week#2
2026-01-14,Foghorn,3rd-f-qsource,QS/3rdF,M Source Week#2
2026-01-14,Hodl,the-silo,Post,the-silo - AMRAP à la Hodl
2026-01-14,Depends (3rdF Q),3rd-f-qsource,QS/3rdF,M Source Week#2
2026-01-14,Dauber,winter_warrior_2026,EC,3.01
2026-01-14,Hodl,the-silo,Q,the-silo - AMRAP à la Hodl
2026-01-14,Broomstick,the-ridge,Post,the-ridge - Dog park loop
2026-01-14,Deja vu,downrange,Post,downrange - Millville Pearls on a string at The Wood
2026-01-14,Mr. Kotter,the-ridge,Q,the-ridge - Dog park loop
2026-01-14,Dauber,the-ridge,Post,the-ridge - Dog park loop
2026-01-14,Dilly Dilly,the-ridge,Post,the-ridge - Dog park loop
2026-01-14,Mr. Kotter,winter_warrior_2026,EC,3.09
2026-01-14,Soft Hands,downrange,Post,downrange - SLT4 at The Wood Minus Dauber
2026-01-14,Duck Hunt,winter_warrior_2026,EC,0.0
2026-01-14,Spit Valve,the-colosseum,Post,"the-colosseum - Yo Mama so Fat, Heavy Ruck Club"
2026-01-14,Mr. Kotter,the-ridge,Post,the-ridge - Dog park loop
2026-01-14,Slackbot,downrange,Post,downrange - SLT4 at The Wood Minus Dauber
2026-01-14,Depends (3rdF Q),the-colosseum,Post,"the-colosseum - Yo Mama so Fat, Heavy Ruck Club"
2026-01-14,Foreclosure,winter_warrior_2026,EC,4.0
2026-01-14,Soft Hands,winter_warrior_2026,EC,4.0
2026-01-14,Sparkler,downrange,Post,downrange - SLT4 at The Wood Minus Dauber
2026-01-14,Foreclosure,downrange,Post,downrange - SLT4 at The Wood Minus Dauber
2026-01-14,Chum Bucket,winter_warrior_2026,EC,2.0
2026-01-14,Duck Hunt,ravens-nest,Post,ravens-nest - Pop-Tart at Ravens Nest
2026-01-14,Chum Bucket,downrange,Post,downrange - SLT4 at The Wood Minus Dauber
2026-01-14,Slackbot,downrange,Q,downrange - SLT4 at The Wood Minus Dauber
2026-01-14,Deja vu,winter_warrior_2026,EC,1.51
2026-01-15,Deja vu,downrange,Post,downrange - Running and Lifting at The Campus
2026-01-15,Duck Hunt,winter_warrior_2026,EC,0.0
2026-01-15,Mr. Kotter,winter_warrior_2026,EC,4.5
2026-01-15,Party in a bottle,the-ridge,Post,the-ridge - Below Zero Beatdown with Foundation ❄️?
2026-01-15,Dilly Dilly,the-ridge,Post,the-ridge - Below Zero Beatdown with Foundation ❄️?
2026-01-15,Depends (3rdF Q),3rd-f-qsource,QS/3rdF,QS Language
2026-01-15,Pull-up,3rd-f-qsource,QS/3rdF,QS Language
2026-01-15,Foghorn,black-diamond,Post,black-diamond - Pull Up’s 4 Corner Beatdown
2026-01-15,Duck Hunt,black-diamond,Post,black-diamond - Pull Up’s 4 Corner Beatdown
2026-01-15,Mr. Kotter,3rd-f-qsource,QS/3rdF,QS Language
2026-01-15,Mr. Kotter,black-diamond,Post,black-diamond - Pull Up’s 4 Corner Beatdown
2026-01-15,Foreclosure,black-diamond,Post,black-diamond - Pull Up’s 4 Corner Beatdown
2026-01-15,Broomstick,black-diamond,Post,black-diamond - Pull Up’s 4 Corner Beatdown
2026-01-15,Pull-up,black-diamond,Post,black-diamond - Pull Up’s 4 Corner Beatdown
2026-01-15,Pull-up,black-diamond,Q,black-diamond - Pull Up’s 4 Corner Beatdown
2026-01-15,Sparkler,black-diamond,Post,black-diamond - Pull Up’s 4 Corner Beatdown
2026-01-16,Soft Hands,downrange,Post,downrange - 3R beatdown
2026-01-16,Sparkler,winter_warrior_2026,EC,3.17
2026-01-16,Chum Bucket,winter_warrior_2026,EC,2.0
2026-01-16,Mr. Kotter,winter_warrior_2026,EC,1.72
2026-01-16,Foreclosure,winter_warrior_2026,EC,4.0
2026-01-16,Sparkler,the-grove,Post,the-grove - Old Maid's 500th Post with 500 Reps at TG
2026-01-16,Pull-up,the-grove,Post,the-grove - Old Maid's 500th Post with 500 Reps at TG
2026-01-16,Chum Bucket,the-grove,Post,the-grove - Old Maid's 500th Post with 500 Reps at TG
2026-01-16,Mr. Kotter,the-grove,Post,the-grove - Old Maid's 500th Post with 500 Reps at TG
2026-01-16,Foreclosure,downrange,Q,downrange - 3R beatdown
2026-01-16,Slackbot,downrange,Q,downrange - RC at BP
2026-01-16,Slackbot,downrange,Post,downrange - RC at BP
2026-01-16,Dilly Dilly,winter_warrior_2026,EC,1.8
2026-01-16,Spit Valve,winter_warrior_2026,EC,3.06
2026-01-16,Dauber,the-olympiad,Post,the-olympiad - Cutlers Neighborhood Court Run
2026-01-16,Depends (3rdF Q),the-olympiad,Post,the-olympiad - Cutlers Neighborhood Court Run
2026-01-16,Spit Valve,the-olympiad,Post,the-olympiad - Cutlers Neighborhood Court Run
2026-01-16,Deja vu,downrange,Post,downrange - 3R beatdown
2026-01-16,Duck Hunt,winter_warrior_2026,EC,0.0
2026-01-16,Deja vu,winter_warrior_2026,EC,1.05
2026-01-16,Dauber,winter_warrior_2026,EC,3.25
2026-01-16,Hodl,the-colosseum,Post,the-colosseum - Napster’s 51st Bday Bash
2026-01-16,Pull-up,winter_warrior_2026,EC,3.18
