user_name,Team,HS,Total_Points,Post_count,ec,FNG1,FNG5,FNG_VQ
Sizzler,Cupid,0,29,8,0,<NA>,<NA>,<NA>
SkidMark,Blitzen,0,41,11,8,<NA>,<NA>,<NA>
Slapshot,Rudolph,0,46,15,0,<NA>,<NA>,<NA>
SoccerMom,Vixen,0,3,1,0,3,0,<NA>
Soft Hands,Cupid,0,112,18,21,<NA>,<NA>,<NA>
Sparkler,Cupid,0,125,25,28,<NA>,<NA>,<NA>
Sparky,Dancer,0,130,20,24,<NA>,<NA>,<NA>
Spike Horn,Cupid,0,13,4,0,<NA>,<NA>,<NA>
Spit Valve,Prancer,10,226,35,36,<NA>,<NA>,<NA>
Stitch,Vixen,0,24,7,3,3,5,0
Storm Chaser,Donner,0,111,17,22,<NA>,<NA>,<NA>
The Vault,Prancer,0,23,3,0,3,0,0
The Worm,Prancer,0,29,7,0,<NA>,<NA>,<NA>
Thesaurus,Dancer,0,59,15,0,<NA>,<NA>,<NA>
Tighty Whities,Comet,0,45,10,0,3,5,<NA>
Tinfoil,Prancer,0,77,16,15,3,5,<NA>
Trickle,Donner,0,12,4,0,<NA>,<NA>,<NA>
Trifecta,Dasher,0,54,4,24,<NA>,<NA>,<NA>
TruGreen,Dancer,0,47,0,0,<NA>,<NA>,<NA>
UPS,Dasher,0,42,9,0,<NA>,<NA>,<NA>
Underdog,Rudolph,0,32,7,9,<NA>,<NA>,<NA>
Waffle House,Dancer,0,73,9,5,3,5,0
Wing Stop (F3 Naperville),Comet,0,35,6,6,<NA>,<NA>,<NA>
Xena- Warrior Princess,Blitzen,0,27,5,0,<NA>,<NA>,<NA>
YellowPages,Prancer,0,126,22,3,<NA>,<NA>,<NA>
Zimmer,Dasher,0,95,13,6,<NA>,<NA>,<NA>
fuzzy navel,Donner,10,101,12,12,<NA>,<NA>,<NA>
vern,Vixen,0,51,15,6,<NA>,<NA>,<NA>
